DATETIME,Distance,Power,Liter,V1,V2,X,Y,Phase,Phase_compressed,Production
"2021-03-31 07:00:50",20.0625,3261.66,0,0,0,7.21604,1.17074,20,4,0
"2021-03-31 07:00:51",20.0625,3275.71,0,0,0,7.22351,1.22671,20,4,0
"2021-03-31 07:00:54",20.0625,67.8667,0,0,0,6.905,1.32758,20,4,0
"2021-03-31 07:00:55",20.0625,31.59,0,0,0,6.03265,1.19802,20,4,0
"2021-03-31 07:00:56",20.0625,39.78,0,0,0,5.35112,1.04442,20,4,0
"2021-03-31 07:00:57",20.0625,36.27,0,0,0,4.26318,1.27265,20,4,0
"2021-03-31 07:00:58",20.0625,37.44,0,0,0,3.67584,1.6067,20,4,0
"2021-03-31 07:01:00",20.0625,38.22,0,0,0,3.4712,1.72094,20,4,0
"2021-03-31 07:01:01",20.0625,49.53,0,0,0,3.41144,1.76257,20,4,0
"2021-03-31 07:01:02",20.0625,40.95,0,0,0,3.39371,1.79353,20,4,0
"2021-03-31 07:01:03",20.0625,38.61,0,0,0,3.38951,1.81194,20,4,0
"2021-03-31 07:01:04",20.0625,46.8,0,0,0,3.35452,1.73752,20,4,0
"2021-03-31 07:01:06",20.0625,15.21,0,0,0,3.3942,1.60028,20,4,0
"2021-03-31 07:01:07",20.0625,35.49,0,0,0,3.43602,1.26929,20,4,0
"2021-03-31 07:01:08",20.0625,46.8,0,0,0,3.47833,1.26757,20,4,0
"2021-03-31 07:01:09",20.0625,47.97,0,0,0,3.49444,1.09774,20,4,0
"2021-03-31 07:01:10",20.0625,33.93,0,0,0,3.43543,0.769676,20,4,0
"2021-03-31 07:01:12",20.0625,53.82,0,0,0,3.27773,1.28896,20,4,0
"2021-03-31 07:01:14",20.0625,33.93,0,0,0,3.32826,1.70441,20,4,0
"2021-03-31 07:01:15",20.0625,43.29,0,0,0,3.36524,1.87784,20,4,0
"2021-03-31 07:01:16",20.0625,49.14,0,0,0,3.39063,1.92555,20,4,0
"2021-03-31 07:01:18",20.0625,51.48,0,0,0,3.39411,1.88303,20,4,0
"2021-03-31 07:01:19",20.0625,56.16,0,0,0,3.39681,1.87785,20,4,0
"2021-03-31 07:01:20",20.0625,54.21,0,0,0,3.39803,1.88807,20,4,0
"2021-03-31 07:01:21",20.0625,40.95,0,0,0,3.41109,1.94934,20,4,0
"2021-03-31 07:01:22",20.0625,39.78,0,0,0,3.39153,1.93084,20,4,0
"2021-03-31 07:01:24",20.0625,60.84,0,0,0,3.40012,1.93141,20,4,0
"2021-03-31 07:01:25",20.0625,51.48,0,0,0,3.40278,1.93293,20,4,0
"2021-03-31 07:01:26",20.0625,42.12,0,0,0,3.40272,1.92406,20,4,0
"2021-03-31 07:01:27",20.0625,50.31,0,0,0,3.40501,1.91635,20,4,0
"2021-03-31 07:01:28",20.0625,26.91,0,0,0,3.40902,1.91714,20,4,0
"2021-03-31 07:01:30",20.0625,56.16,0,0,0,3.39495,1.91763,20,4,0
"2021-03-31 07:01:31",20.0625,49.14,0,0,0,3.39656,1.91218,20,4,0
"2021-03-31 07:01:32",20.0625,54.99,0,0,0,3.40721,1.90213,20,4,0
"2021-03-31 07:01:34",20.0625,50.31,0,0,0,3.41261,1.89233,20,4,0
"2021-03-31 07:01:35",20.0625,29.25,0,0,0,3.41126,1.88716,20,4,0
"2021-03-31 07:01:37",20.0625,39.78,0,0,0,3.41373,1.89359,20,4,0
"2021-03-31 07:01:38",20.0625,31.59,0,0,0,3.41646,1.89488,20,4,0
"2021-03-31 07:01:39",20.0625,35.88,0,0,0,3.41315,1.90486,20,4,0
"2021-03-31 07:01:40",20.0625,39.78,0,0,0,3.41606,1.91728,20,4,0
"2021-03-31 07:01:41",20.0625,54.99,0,0,0,3.41759,1.90327,20,4,0
"2021-03-31 07:01:43",20.0625,33.93,0,0,0,3.40687,1.85786,20,4,0
"2021-03-31 07:01:44",20.0625,49.14,0,0,0,3.35529,1.75508,20,4,0
"2021-03-31 07:01:45",20.0625,33.93,0,0,0,3.32258,1.62629,20,4,0
"2021-03-31 07:01:46",20.0625,33.93,0,0,0,3.27651,1.55736,20,4,0
"2021-03-31 07:01:47",20.0625,29.25,0,0,0,3.22905,1.49819,20,4,0
"2021-03-31 07:01:49",20.0625,42.12,0,0,0,3.2055,1.64264,20,4,0
"2021-03-31 07:01:50",20.0625,37.05,0,0,0,3.19247,1.59312,20,4,0
"2021-03-31 07:01:51",20.0625,46.41,0,0,0,3.21236,1.59234,20,4,0
"2021-03-31 07:01:52",20.0625,42.9,0,0,0,3.24131,1.63804,20,4,0
"2021-03-31 07:01:53",20.0625,46.02,0,0,0,3.1953,1.52873,20,4,0
"2021-03-31 07:01:55",20.0625,54.99,0,0,0,3.51107,1.65181,20,4,0
"2021-03-31 07:01:57",20.0625,42.12,0,0,0,3.71744,1.4268,20,4,0
"2021-03-31 07:01:58",20.0625,44.07,0,0,0,3.59272,1.61529,20,4,0
"2021-03-31 07:01:59",20.0625,28.08,0,0,0,3.46791,1.81457,20,4,0
"2021-03-31 07:02:01",20.0625,30.42,0,0,0,3.42275,1.89959,20,4,0
"2021-03-31 07:02:02",20.0625,62.01,0,0,0,3.41529,1.90374,20,4,0
"2021-03-31 07:02:03",20.0625,28.86,0,0,0,3.41634,1.91408,20,4,0
"2021-03-31 07:02:04",20.0625,43.29,0,0,0,3.41775,1.92095,20,4,0
"2021-03-31 07:02:05",20.0625,33.93,0,0,0,3.41794,1.92254,20,4,0
"2021-03-31 07:02:06",20.0625,44.07,0,0,0,3.42239,1.93041,20,4,0
"2021-03-31 07:02:08",20.0625,46.8,0,0,0,3.42133,1.90656,20,4,0
"2021-03-31 07:02:09",20.0625,47.19,0,0,0,3.42229,1.90435,20,4,0
"2021-03-31 07:02:10",20.0625,33.54,0,0,0,3.42394,1.91135,20,4,0
"2021-03-31 07:02:11",20.0625,33.93,0,0,0,3.42081,1.89952,20,4,0
"2021-03-31 07:02:14",20.0625,32.76,0,0,0,3.32256,1.65468,20,4,0
"2021-03-31 07:02:15",20.0625,50.31,0,0,0,3.37558,1.55266,20,4,0
"2021-03-31 07:02:16",20.0625,34.32,0,0,0,3.59399,1.60075,20,4,0
"2021-03-31 07:02:18",20.0625,46.8,0,0,0,5.80069,1.58569,20,4,0
"2021-03-31 07:02:20",20.0625,933.89,0,0,0,6.87168,0.629949,20,4,0
"2021-03-31 07:02:21",20.0625,3518.74,0,0,0,6.21364,0.638296,20,4,0
"2021-03-31 07:02:22",20.0625,3629.14,0,0,0,5.02631,1.13796,20,4,0
"2021-03-31 07:02:23",20.0625,3616.66,0,0,0,4.06833,1.37415,20,4,0
"2021-03-31 07:02:24",20.0625,3454.77,0,0,0,4.17121,1.52849,20,4,0
"2021-03-31 07:02:26",20.0625,3473.49,0,0,0,6.00331,1.60058,20,4,0
"2021-03-31 07:02:27",20.0625,3464.13,0,0,0,7.24481,1.80361,20,4,0
