cycle_time,duration_cam,duration_end,wait,fork_light_barrier,acc_sensor,motor_temp,Lego_check,width_Lego,length_Lego,horizontal_distance,vertical_distance,failure_mode
00:00:04,00:00:02,00:00:02,00:00:03,1,2.6487,24.5105,1,163.88,246.57,-0.036393,-0.34971,Reduced_Motorspeed
00:00:05,00:00:01,00:00:04,00:13:09,1,2.6381,27.9367,1,163.23,246.51,-0.027708,0,Machine_Downtime_Long
00:00:04,00:00:04,00:00:00,00:00:00,1,2.6458,28.9612,0,0,0,0,0,Fallen_Lego
00:00:03,00:00:02,00:00:01,00:00:03,1,2.6413,27.3308,1,163.95,246.55,0.0018875,-0.34199,Reduced_Motorspeed
00:00:04,00:00:01,00:00:03,00:08:30,1,2.6539,28.4545,1,163.52,246.59,0.020545,0,Machine_Downtime_Long
00:00:02,00:00:01,00:00:01,00:00:27,1,2.6532,27.1655,1,163.48,246.1,0.021832,-0.029638,Waiting_Time
00:00:02,00:00:02,00:00:00,00:13:02,1,2.6423,28.3443,1,163.45,246.19,-0.010015,-0.021596,Unplanned_Maintenance
00:00:02,00:00:02,00:00:00,00:02:32,1,2.6477,26.1961,0,0,0,0,-0.32913,Machine_Downtime_Short
00:00:02,00:00:01,00:00:01,00:00:02,1,2.6436,27.7714,1,163.59,246.67,-0.088828,-0.3777,Normalfall
00:00:02,00:00:02,00:00:00,00:03:05,1,2.6455,27.9808,1,163.74,246.25,-0.03382,-0.37255,Waiting_Time
00:00:05,00:00:02,00:00:03,00:04:28,1,2.6442,27.3638,1,163.46,246.14,0.023119,0,Machine_Downtime_Short
00:00:02,00:00:01,00:00:01,00:00:04,1,2.6519,27.8816,1,163.91,246.52,0.025049,-0.022561,Reduced_Motorspeed
00:00:10,00:00:09,00:00:01,00:00:02,1,2.6513,28.7629,1,163.37,246.26,0.026979,-0.35969,Blocked_Lego
00:00:06,00:00:05,00:00:01,00:00:03,1,2.6432,24.5656,1,163.3,246.18,0.018293,-0.37641,Blocked_Lego
00:00:02,00:00:01,00:00:01,00:23:09,1,2.6671,24.6758,1,163.73,246.79,-0.033498,-0.35808,Unplanned_Maintenance
00:00:02,00:00:02,00:00:00,00:00:03,1,2.6416,22.9462,1,163.71,246.67,-0.040253,-0.37577,Normalfall
00:00:03,00:00:02,00:00:01,00:00:03,1,2.631,26.813,1,163.47,246.38,-0.036715,-0.34618,Reduced_Motorspeed
00:00:05,00:00:01,00:00:04,00:17:00,1,2.633,28.1019,1,163.29,246.39,0.024084,0,Machine_Downtime_Long
00:00:03,00:00:02,00:00:01,00:00:03,1,2.6503,27.5731,1,163.28,246.78,0.023762,-0.024169,Reduced_Motorspeed
00:00:04,00:00:04,00:00:00,00:00:00,1,2.6625,28.6087,0,0,0,0,0,Fallen_Lego
00:00:02,00:00:01,00:00:01,00:04:37,1,2.6584,24.5987,1,163.33,246.28,0.041777,-0.35164,Waiting_Time
00:00:02,00:00:02,00:00:00,00:00:03,1,2.6622,24.2902,1,163.63,246.48,0.017328,-0.36709,Normalfall
00:00:02,00:00:02,00:00:00,00:04:08,1,2.6455,26.152,0,0,0,0,-0.29406,Machine_Downtime_Short
00:00:02,00:00:02,00:00:00,00:12:36,1,2.6378,28.4655,1,163.72,246.54,-0.029959,-0.022561,Unplanned_Maintenance
00:00:03,00:00:03,00:00:00,00:00:00,1,2.6625,28.0138,0,0,0,0,0,Fallen_Lego
00:00:02,00:00:02,00:00:00,00:04:39,1,2.6439,26.3833,0,0,0,0,-0.32108,Machine_Downtime_Short
00:00:03,00:00:03,00:00:00,00:00:00,1,2.6497,25.8876,0,0,0,0,0,Fallen_Lego
00:00:02,00:00:01,00:00:01,00:00:04,1,2.6532,27.1655,1,163.48,246.1,0.021832,-0.029638,Normalfall
00:00:02,00:00:01,00:00:01,00:21:48,1,2.6477,26.5706,1,163.57,246.59,0.020224,-0.36837,Unplanned_Maintenance
00:00:04,00:00:03,00:00:01,00:00:03,1,2.6461,25.9096,1,163.91,246.71,-0.037358,-0.028994,Blocked_Lego
00:00:04,00:00:04,00:00:00,00:00:04,1,2.6391,27.0443,1,164.12,246.5,-0.044113,-0.35711,Blocked_Lego
00:00:02,00:00:02,00:00:00,00:06:30,1,2.6506,26.4935,1,163.91,246.39,-0.031889,-0.021596,Unplanned_Maintenance
00:00:04,00:00:01,00:00:03,00:02:48,1,2.6397,27.2647,1,163.63,247.12,-0.032854,0,Machine_Downtime_Short
